id;company_code;company_name;company_reg_number
1;Frozen Kids;connecting HDD;digital
2;Savings Account action-items;Human navigate Idaho;virtual
3;transmitter;bandwidth Trinidad and Tobago Dollar Licensed;Table interfaces
4;Bike;SCSI Field Bermuda;Home
5;Phased sky blue;Exclusive benchmark;Sleek Wooden Chips bi-directional
6;Russian Ruble deploy;Roads feed;Director
7;bypassing;array Virginia;bypass
8;Generic;Savings Account monetize one-to-one;extensible Practical Granite Bacon
9;Turkish Lira;Profit-focused;system-worthy Credit Card Account
10;Denmark hub collaboration;Tasty Cotton Tuna efficient Producer;Hill Awesome Rubber Computer
