id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance;location_id;transaction_type_id;customer_id
1;2019-11-24;Internal niches;38313;77091;51891;1;1;1
2;2019-11-23;strategic;95862;73803;18437;2;2;2
3;2019-11-24;Auto Loan Account;24534;6824;38929;3;3;3
4;2019-11-23;action-items;91551;71904;72153;4;4;4
5;2019-11-24;West Virginia Keys;66367;95408;93682;5;5;5
6;2019-11-24;Bedfordshire 4th generation Equatorial Guinea;16201;59507;84152;6;6;6
7;2019-11-24;Cambridgeshire Savings Account extensible;77091;47423;10659;7;7;7
8;2019-11-24;bricks-and-clicks;41279;49549;70492;8;8;8
9;2019-11-23;vortals Centralized;81910;7776;79941;9;9;9
10;2019-11-24;Engineer Toys Fantastic;31459;9158;80743;10;10;10
