id;grn_number;grn_date;po_number;supplier_id;location_id
1;redefine transmitting;2019-11-23;Practical Steel Shirt Plastic Movies;1;1
2;SMS;2019-11-23;Producer Agent;2;2
3;Rhode Island capacitor;2019-11-23;enhance Multi-channelled purple;3;3
4;Response;2019-11-23;Synergized;4;4
5;calculate Fantastic Concrete Computer Baby;2019-11-23;Springs connecting;5;5
6;SAS;2019-11-23;California PNG engage;6;6
7;Burg;2019-11-23;bluetooth payment digital;7;7
8;Rubber Industrial seamless;2019-11-23;mesh partnerships;8;8
9;array Luxembourg Spurs;2019-11-23;middleware Switzerland;9;9
10;Data Granite Configuration;2019-11-23;Business-focused Canyon Orchestrator;10;10
