id;transaction_date;transaction_description;transaction_qty;transaction_balance;location_id;item_id
1;2019-11-24;programming panel;8134;51332;1;1
2;2019-11-24;Planner;37427;86313;2;2
3;2019-11-24;open-source Interactions Planner;75337;35021;3;3
4;2019-11-24;Sleek navigate Oklahoma;42422;24872;4;4
5;2019-11-23;Cotton;49262;25368;5;5
6;2019-11-24;Parkway Handmade Wooden Cheese;11752;82279;6;6
7;2019-11-23;synthesize Idaho Markets;37487;47771;7;7
8;2019-11-24;EXE;22359;43633;8;8
9;2019-11-23;Industrial Designer Incredible Fresh Car;52770;92464;9;9
10;2019-11-23;Gorgeous Rubber Chicken Associate Central African Republic;62939;21680;10;10
