id;location_code;location_name;is_active;company_id
1;grow Orchestrator;multi-state El Salvador Colon US Dollar XSS;true;1
2;Handmade Granite Fish Rustic Configurable;Delaware Health Borders;false;2
3;efficient back up Tactics;Borders;false;3
4;revolutionary Sports Fantastic;benchmark Planner;false;4
5;Turkish Lira overriding Rustic Metal Computer;deposit circuit Kids;true;5
6;Generic Granite Gloves capacitor;Assurance Auto Loan Account cross-platform;true;6
7;Avon invoice Malta;synthesizing Manors;true;7
8;Central African Republic;markets protocol Savings Account;true;8
9;Trafficway;pink Architect;false;9
10;Pizza redundant deposit;Towels Clothing;true;10
