id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance;location_id;transaction_type_id
1;2019-11-23;Home Loan Account AGP;98408;39828;76827;1;1
2;2019-11-24;killer Russian Federation;73227;23877;334;2;2
3;2019-11-24;B2C systematic;29630;71555;23360;3;3
4;2019-11-23;24/7;91033;98772;4510;4;4
5;2019-11-24;disintermediate;67964;12443;21825;5;5
6;2019-11-23;neural Cloned Massachusetts;98233;87911;88419;6;6
7;2019-11-23;Underpass Personal Loan Account;16703;74335;99116;7;7
8;2019-11-24;matrix;83782;64964;23056;8;8
9;2019-11-23;Avon Automated Shirt;22048;3673;18643;9;9
10;2019-11-23;copying primary invoice;21632;88378;51826;10;10
