id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance;location_id;transaction_type_id
1;2019-11-23;Salad indexing Pre-emptive;22381;74787;53697;1;1
2;2019-11-24;Customer SDD;45743;87746;39116;2;2
3;2019-11-24;Granite;88874;4437;95565;3;3
4;2019-11-23;Jewelery monitoring Infrastructure;73521;8698;28139;4;4
5;2019-11-24;implement;25975;69571;72342;5;5
6;2019-11-24;Belarus Integration;10946;68325;89447;6;6
7;2019-11-24;backing up Cambridgeshire Motorway;59240;90651;82468;7;7
8;2019-11-23;payment Mayotte;86449;26702;73390;8;8
9;2019-11-23;optical deposit;85058;15734;86729;9;9
10;2019-11-24;next-generation Quality-focused Quality;10583;61861;69899;10;10
