id;user_perm_key;user_perm_description;is_active;user_id
1;Buckinghamshire Cameroon;Intuitive application;true;1
2;payment;Nevada port Money Market Account;true;2
3;Interactions;Idaho strategize;false;3
4;Communications;Customer;false;4
5;Generic Advanced;HDD Security Virginia;true;5
6;Lead alarm Cheese;maximize Practical Steel Fish;false;6
7;programming District Wooden;Officer;true;7
8;Fresh;strategy instruction set Persistent;true;8
9;streamline navigate;neural;false;9
10;leading-edge synergize;JSON National;false;10
