id;worker_code;worker_name;worker_limit;is_active;location_id
1;utilisation;recontextualize USB primary;56701;false;1
2;Refined withdrawal copy;Kuwaiti Dinar solid state program;79781;false;2
3;SAS embrace;Nigeria;575;false;3
4;withdrawal;mesh Iceland Krona;38855;true;4
5;Savings Account Haiti;Advanced Awesome Rubber Mouse;66821;true;5
6;connect Berkshire;XSS Suriname;47918;true;6
7;cross-platform;enable;39882;true;7
8;Operative Place;generate 1080p;71812;true;8
9;Andorra overriding synergies;deposit Principal Profound;92703;false;9
10;azure;mission-critical Rustic;48587;true;10
